reponse_id|horodatage|langue|avis_citoyen|poids
r001|2026-03-01|fr|Il faut plus de médecins dans les zones rurales.|2
r002|2026-03-01|en|We need faster internet access in remote villages.|1
r003|2026-03-02|es|Deberíamos invertir más en energías renovables.|1
r004|2026-03-02|de|Die Krankenhäuser brauchen mehr Personal und Mittel.|3
r005|2026-03-03|fr|Les déserts médicaux s'aggravent, il manque des généralistes.|1
r006|2026-03-03|it|Servono più trasporti pubblici nelle aree rurali.|1
r007|2026-03-04|fr||1
r008|2026-03-04|fr|ok|1
r009|2026-03-05|pt|Precisamos de mais escolas no interior do país.|2
r010|2026-03-05|fr|La fibre optique devrait arriver dans tous les villages.|1
